arch;seed;val_score;test_score
const,max,relu6,2,128,cos,sum,elu,1;79.0;0.64;0.7090000000000001
const,max,relu6,2,128,cos,sum,linear,16;10.0;0.6559999999999999;0.644
const,max,relu6,2,16,gat_sym,sum,tanh,8;10.0;0.618;0.615
const,max,relu6,2,256,generalized_linear,mean,elu,16;10.0;0.336;0.333
const,max,relu6,2,32,linear,mlp,softplus,8;79.0;0.35;0.338
const,max,relu6,2,4,gat,mlp,relu,4;123.0;0.224;0.219
const,max,relu6,2,4,generalized_linear,mean,relu6,4;42.0;0.21;0.264
const,max,relu6,2,64,gat,max,relu6,2;10.0;0.262;0.28
const,max,relu6,2,64,gat,mlp,relu,16;42.0;0.364;0.37
const,max,relu6,2,64,gcn,mean,elu,6;10.0;0.3;0.285
const,max,relu6,2,8,const,sum,elu,1;123.0;0.602;0.624
const,max,relu6,2,8,gcn,max,softplus,8;19.0;0.202;0.28300000000000003
const,max,relu6,2,8,gcn,mlp,relu6,1;79.0;0.49;0.467
const,max,relu6,2,8,linear,mlp,elu,8;10.0;0.518;0.486
const,max,relu6,4,16,gat_sym,mlp,softplus,2;123.0;0.648;0.639
const,max,relu6,4,16,linear,mean,leaky_relu,1;19.0;0.602;0.5770000000000001
const,max,relu6,4,256,linear,sum,linear,1;42.0;0.65;0.72
const,max,relu6,4,32,gat_sym,sum,elu,2;123.0;0.672;0.711
const,max,relu6,4,8,gat,max,sigmoid,1;10.0;0.262;0.276
const,max,relu6,4,8,gat,sum,leaky_relu,1;123.0;0.6579999999999999;0.648
const,max,relu6,6,16,generalized_linear,max,tanh,1;123.0;0.388;0.341
const,max,relu6,6,4,linear,mlp,softplus,6;123.0;0.57;0.573
const,max,relu6,6,64,cos,mlp,linear,1;19.0;0.67;0.6559999999999999
const,max,relu6,6,8,gcn,mlp,relu6,16;42.0;0.244;0.24050000000000002
const,max,relu6,6,8,generalized_linear,max,softplus,16;10.0;0.25;0.275
const,max,relu6,8,128,gat_sym,sum,tanh,16;123.0;0.672;0.684
const,max,relu6,8,128,generalized_linear,mlp,softplus,1;79.0;0.642;0.662
const,max,relu6,8,256,gat_sym,mean,relu6,16;79.0;0.138;0.185
const,max,relu6,8,256,generalized_linear,mlp,leaky_relu,2;10.0;0.57;0.565
const,max,relu6,8,256,linear,mlp,leaky_relu,8;10.0;0.6459999999999999;0.629
