arch;seed;val_score;test_score
const,max,leaky_relu,2,64,cos,mean,leaky_relu,2;42.0;0.316;0.319
const,max,leaky_relu,2,64,linear,sum,sigmoid,4;79.0;0.7859999999999999;0.787
const,max,leaky_relu,2,8,const,mean,leaky_relu,8;10.0;0.316;0.319
const,max,leaky_relu,2,8,cos,mean,relu,1;10.0;0.374;0.41
const,max,leaky_relu,2,8,gat,sum,softplus,1;42.0;0.778;0.7859999999999999
const,max,leaky_relu,4,128,linear,sum,sigmoid,16;123.0;0.762;0.797
const,max,leaky_relu,4,16,cos,mlp,softplus,16;10.0;0.6659999999999999;0.662
const,max,leaky_relu,4,16,cos,sum,elu,16;79.0;0.742;0.767
const,max,leaky_relu,4,16,gat,mlp,leaky_relu,6;19.0;0.598;0.603
const,max,leaky_relu,4,16,gcn,mlp,sigmoid,1;79.0;0.484;0.5489999999999999
const,max,leaky_relu,4,256,const,mean,softplus,8;19.0;0.6579999999999999;0.701
const,max,leaky_relu,4,32,generalized_linear,sum,linear,1;19.0;0.8;0.812
const,max,leaky_relu,4,32,linear,max,elu,8;42.0;0.71;0.703
const,max,leaky_relu,4,4,const,sum,linear,2;10.0;0.742;0.73
const,max,leaky_relu,4,64,const,sum,tanh,4;19.0;0.7959999999999999;0.8140000000000001
const,max,leaky_relu,4,64,gat_sym,mean,relu6,16;79.0;0.316;0.319
const,max,leaky_relu,4,64,linear,sum,sigmoid,4;79.0;0.779;0.796
const,max,leaky_relu,4,8,gcn,sum,linear,1;42.0;0.784;0.81
const,max,leaky_relu,4,8,generalized_linear,mean,sigmoid,2;123.0;0.122;0.319
const,max,leaky_relu,6,128,gcn,max,softplus,6;19.0;0.608;0.624
const,max,leaky_relu,6,128,linear,mean,softplus,2;79.0;0.752;0.765
const,max,leaky_relu,6,128,linear,sum,tanh,4;79.0;0.7979999999999999;0.833
const,max,leaky_relu,6,16,generalized_linear,max,tanh,2;79.0;0.4;0.457
const,max,leaky_relu,6,32,const,mean,sigmoid,8;79.0;0.108;0.149
const,max,leaky_relu,6,4,const,mlp,linear,8;79.0;0.736;0.764
const,max,leaky_relu,6,64,gat_sym,mean,sigmoid,6;10.0;0.162;0.149
const,max,leaky_relu,6,8,gat_sym,sum,softplus,4;19.0;0.7879999999999999;0.794
const,max,leaky_relu,6,8,gcn,mlp,leaky_relu,2;42.0;0.746;0.7659999999999999
const,max,leaky_relu,6,8,linear,sum,sigmoid,1;79.0;0.794;0.815
const,max,leaky_relu,8,16,const,mlp,relu,6;42.0;0.45;0.485
const,max,leaky_relu,8,16,gat,sum,elu,4;19.0;0.7959999999999999;0.821
const,max,leaky_relu,8,16,linear,max,sigmoid,2;10.0;0.316;0.319
const,max,leaky_relu,8,256,cos,sum,tanh,4;19.0;0.8;0.8190000000000001
const,max,leaky_relu,8,256,gat_sym,sum,relu6,2;123.0;0.8059999999999999;0.789
const,max,leaky_relu,8,256,generalized_linear,max,elu,8;42.0;0.72;0.746
const,max,leaky_relu,8,4,generalized_linear,mlp,linear,16;79.0;0.59;0.59
const,max,leaky_relu,8,64,linear,sum,leaky_relu,16;19.0;0.78;0.82
const,max,leaky_relu,8,8,linear,sum,elu,16;79.0;0.7559999999999999;0.762
const,max,linear,1,128,gat,mlp,softplus,1;42.0;0.6940000000000001;0.7190000000000001
const,max,linear,1,128,gcn,mean,tanh,6;79.0;0.20600000000000002;0.319
const,max,linear,1,128,linear,sum,sigmoid,6;123.0;0.47;0.501
const,max,linear,1,256,const,sum,sigmoid,2;42.0;0.79;0.815
const,max,linear,1,4,generalized_linear,mean,softplus,16;42.0;0.316;0.319
const,max,linear,1,4,linear,mlp,relu6,1;19.0;0.452;0.454
const,max,linear,1,4,linear,sum,relu6,2;10.0;0.58;0.609
const,max,linear,1,64,const,sum,tanh,4;19.0;0.768;0.815
const,max,linear,1,64,gcn,sum,elu,8;10.0;0.7659999999999999;0.772
const,max,linear,1,64,generalized_linear,sum,linear,4;19.0;0.7440000000000001;0.752
const,max,linear,1,64,generalized_linear,sum,tanh,16;79.0;0.7879999999999999;0.7979999999999999
const,max,linear,1,64,generalized_linear,sum,tanh,8;10.0;0.7879999999999999;0.807
const,max,linear,1,8,cos,sum,leaky_relu,4;19.0;0.6659999999999999;0.725
const,max,linear,1,8,gat,max,elu,16;19.0;0.156;0.14400000000000002
const,max,linear,1,8,gcn,sum,tanh,4;10.0;0.59;0.585
const,max,linear,16,128,cos,max,relu6,2;10.0;0.65;0.691
const,max,linear,16,16,gat_sym,sum,leaky_relu,1;79.0;0.79;0.809
const,max,linear,16,16,gcn,mlp,relu,16;42.0;0.556;0.585
const,max,linear,16,256,gcn,sum,linear,1;123.0;0.782;0.83
const,max,linear,16,32,gat_sym,mlp,linear,2;123.0;0.7340000000000001;0.747
const,max,linear,16,32,gcn,mean,sigmoid,1;79.0;0.266;0.275
const,max,linear,16,4,cos,mlp,softplus,16;10.0;0.642;0.621
const,max,linear,16,4,gat_sym,sum,leaky_relu,6;79.0;0.812;0.8220000000000001
const,max,linear,16,64,generalized_linear,sum,linear,8;123.0;0.768;0.794
const,max,linear,16,8,cos,mlp,softplus,4;19.0;0.772;0.773
const,max,linear,2,128,gat_sym,sum,linear,2;10.0;0.754;0.8
const,max,linear,2,128,gcn,max,sigmoid,16;19.0;0.122;0.142
const,max,linear,2,128,linear,sum,linear,1;19.0;0.7859999999999999;0.812
const,max,linear,2,16,const,sum,elu,16;19.0;0.732;0.762
const,max,linear,2,16,const,sum,elu,6;19.0;0.764;0.785
const,max,linear,2,16,gat,mean,relu,4;123.0;0.546;0.531
const,max,linear,2,256,generalized_linear,sum,elu,1;123.0;0.794;0.82
const,max,linear,2,4,gat_sym,sum,softplus,1;79.0;0.57;0.614
const,max,linear,2,4,linear,sum,leaky_relu,4;19.0;0.68;0.684
const,max,linear,2,64,const,sum,relu,2;19.0;0.784;0.809
const,max,linear,2,64,gat_sym,max,leaky_relu,4;10.0;0.662;0.675
const,max,linear,2,8,gat_sym,sum,softplus,16;123.0;0.69;0.688
const,max,linear,4,128,const,sum,tanh,6;10.0;0.79;0.802
const,max,linear,4,128,cos,sum,leaky_relu,16;42.0;0.78;0.778
const,max,linear,4,128,gat,max,tanh,8;19.0;0.72;0.725
const,max,linear,4,128,gat,mean,leaky_relu,16;19.0;0.604;0.625
const,max,linear,4,128,gat,sum,elu,1;123.0;0.784;0.8190000000000001
const,max,linear,4,16,cos,max,softplus,1;10.0;0.726;0.7559999999999999
const,max,linear,4,16,gat_sym,mlp,tanh,6;19.0;0.662;0.711
const,max,linear,4,256,gcn,sum,softplus,4;42.0;0.778;0.8029999999999999
const,max,linear,4,32,gcn,mlp,softplus,2;19.0;0.76;0.7809999999999999
const,max,linear,4,64,const,sum,elu,8;19.0;0.754;0.7759999999999999
const,max,linear,4,64,gat_sym,max,softplus,4;79.0;0.684;0.696
const,max,linear,4,64,linear,sum,relu,2;19.0;0.794;0.8079999999999999
const,max,linear,4,8,cos,max,leaky_relu,4;19.0;0.588;0.606
const,max,linear,4,8,cos,sum,leaky_relu,16;42.0;0.7490000000000001;0.7615
const,max,linear,4,8,gat_sym,max,elu,16;123.0;0.397;0.4455
const,max,linear,4,8,generalized_linear,sum,linear,4;10.0;0.81;0.802
const,max,linear,6,128,cos,sum,linear,16;123.0;0.768;0.785
const,max,linear,6,16,generalized_linear,sum,elu,1;123.0;0.802;0.818
const,max,linear,6,16,linear,sum,relu,2;19.0;0.764;0.7855
const,max,linear,6,16,linear,sum,relu,8;19.0;0.718;0.7340000000000001
const,max,linear,6,256,gat,sum,softplus,2;79.0;0.74;0.7759999999999999
const,max,linear,6,32,gat,max,elu,16;79.0;0.534;0.56
const,max,linear,6,4,cos,max,tanh,1;123.0;0.6759999999999999;0.7
const,max,linear,6,4,gat_sym,mlp,sigmoid,4;19.0;0.24;0.419
