arch;seed;val_score;test_score
const,max,leaky_relu,6,128,cos,mlp,leaky_relu,2;42.0;0.758;0.745
const,max,leaky_relu,6,128,linear,mlp,relu,2;10.0;0.768;0.7340000000000001
const,max,leaky_relu,6,128,linear,sum,tanh,4;79.0;0.7979999999999999;0.7829999999999999
const,max,leaky_relu,6,16,generalized_linear,max,tanh,2;79.0;0.866;0.87
const,max,leaky_relu,6,256,const,mean,leaky_relu,6;19.0;0.732;0.743
const,max,leaky_relu,6,256,const,sum,tanh,4;79.0;0.8069999999999999;0.7769999999999999
const,max,leaky_relu,6,4,const,mlp,linear,8;79.0;0.51;0.521
const,max,leaky_relu,6,64,const,sum,tanh,4;79.0;0.7879999999999999;0.78
const,max,leaky_relu,6,64,generalized_linear,mlp,linear,2;79.0;0.72;0.711
const,max,leaky_relu,6,64,linear,sum,tanh,4;79.0;0.7889999999999999;0.7725
const,max,leaky_relu,6,8,linear,sum,tanh,4;79.0;0.792;0.773
const,max,leaky_relu,8,128,generalized_linear,mlp,leaky_relu,2;42.0;0.748;0.728
const,max,leaky_relu,8,128,linear,mean,relu6,6;79.0;0.388;0.413
const,max,leaky_relu,8,128,linear,sum,sigmoid,4;79.0;0.792;0.7809999999999999
const,max,leaky_relu,8,16,const,mlp,relu,6;42.0;0.196;0.18
const,max,leaky_relu,8,16,gat,mlp,sigmoid,16;79.0;0.5539999999999999;0.522
const,max,leaky_relu,8,4,generalized_linear,mlp,linear,16;79.0;0.416;0.444
const,max,leaky_relu,8,64,linear,sum,leaky_relu,16;19.0;0.87;0.866
const,max,leaky_relu,8,64,linear,sum,relu,6;79.0;0.446;0.511
const,max,leaky_relu,8,8,linear,sum,elu,16;79.0;0.8759999999999999;0.87
const,max,linear,1,128,gcn,mean,tanh,6;79.0;0.464;0.47150000000000003
const,max,linear,1,128,linear,sum,relu6,1;19.0;0.7340000000000001;0.731
const,max,linear,1,256,const,sum,sigmoid,4;19.0;0.807;0.7755000000000001
const,max,linear,1,256,cos,sum,relu,6;79.0;0.7120000000000001;0.6990000000000001
const,max,linear,1,256,gat_sym,mlp,relu6,1;42.0;0.764;0.728
const,max,linear,1,256,gat_sym,sum,linear,1;10.0;0.7759999999999999;0.746
const,max,linear,1,256,gat_sym,sum,tanh,4;19.0;0.774;0.7709999999999999
const,max,linear,1,256,linear,sum,relu6,2;79.0;0.792;0.763
const,max,linear,1,32,const,mean,tanh,16;10.0;0.772;0.748
const,max,linear,1,32,gcn,mlp,tanh,4;79.0;0.784;0.762
const,max,linear,1,32,linear,mlp,relu6,16;123.0;0.416;0.407
const,max,linear,1,4,gat,mean,linear,2;123.0;0.542;0.568
const,max,linear,1,4,linear,mlp,relu6,1;19.0;0.77;0.7440000000000001
const,max,linear,1,64,gat,sum,linear,6;123.0;0.762;0.745
const,max,linear,1,64,gat_sym,mlp,elu,2;42.0;0.6759999999999999;0.677
const,max,linear,1,64,gcn,max,linear,1;10.0;0.67;0.659
const,max,linear,1,64,generalized_linear,sum,tanh,16;79.0;0.88;0.8640000000000001
const,max,linear,1,64,linear,max,elu,8;19.0;0.638;0.609
const,max,linear,1,8,gat,max,elu,16;19.0;0.402;0.412
const,max,linear,1,8,gat_sym,sum,elu,8;42.0;0.682;0.675
const,max,linear,16,128,const,sum,tanh,16;10.0;0.8039999999999999;0.7806666666666667
const,max,linear,16,128,gat_sym,mean,tanh,16;10.0;0.794;0.769
const,max,linear,16,128,gcn,mean,tanh,16;10.0;0.7773333333333333;0.7546666666666667
const,max,linear,16,128,gcn,mean,tanh,6;10.0;0.784;0.757
const,max,linear,16,128,gcn,sum,tanh,16;10.0;0.794;0.78
const,max,linear,16,16,gcn,max,tanh,6;19.0;0.626;0.626
const,max,linear,16,16,gcn,mlp,relu,16;42.0;0.664;0.6709999999999999
const,max,linear,16,256,gcn,mean,tanh,16;10.0;0.0;0.0
const,max,linear,16,4,cos,mlp,softplus,16;10.0;0.752;0.74
const,max,linear,16,4,linear,sum,linear,1;42.0;0.78;0.765
const,max,linear,16,64,gat_sym,mean,tanh,16;10.0;0.632;0.604
const,max,linear,16,64,gat_sym,sum,leaky_relu,1;42.0;0.7659999999999999;0.755
const,max,linear,16,64,generalized_linear,sum,linear,8;123.0;0.7659999999999999;0.743
const,max,linear,16,8,cos,mlp,softplus,4;19.0;0.88;0.868
const,max,linear,2,128,gat_sym,mean,elu,2;123.0;0.632;0.624
const,max,linear,2,128,gat_sym,sum,linear,2;79.0;0.76;0.741
const,max,linear,2,128,gat_sym,sum,tanh,6;19.0;0.7879999999999999;0.772
const,max,linear,2,128,gcn,max,sigmoid,16;19.0;0.402;0.412
const,max,linear,2,16,gat,mean,relu,4;123.0;0.416;0.407
const,max,linear,2,16,generalized_linear,sum,linear,2;49.0;0.762;0.736
const,max,linear,2,16,linear,sum,tanh,1;10.0;0.78;0.773
const,max,linear,2,32,const,sum,tanh,2;79.0;0.8;0.773
const,max,linear,2,32,gat,max,relu,8;123.0;0.688;0.716
const,max,linear,2,32,gat,mean,elu,4;19.0;0.562;0.5920000000000001
const,max,linear,2,32,gcn,mlp,leaky_relu,2;79.0;0.512;0.518
const,max,linear,2,4,gat_sym,sum,tanh,4;42.0;0.7979999999999999;0.768
const,max,linear,2,4,generalized_linear,sum,linear,1;123.0;0.762;0.753
const,max,linear,2,64,gat_sym,max,leaky_relu,4;10.0;0.628;0.6409999999999999
const,max,linear,2,64,gat_sym,sum,elu,6;123.0;0.754;0.746
const,max,linear,2,64,generalized_linear,sum,linear,2;19.0;0.742;0.723
const,max,linear,2,64,generalized_linear,sum,linear,4;79.0;0.768;0.7509999999999999
const,max,linear,2,8,gat_sym,sum,softplus,16;123.0;0.742;0.728
const,max,linear,2,8,gcn,sum,tanh,2;19.0;0.7020000000000001;0.687
const,max,linear,4,16,const,sum,tanh,4;19.0;0.804;0.772
const,max,linear,4,16,gat,sum,linear,1;79.0;0.7879999999999999;0.7659999999999999
const,max,linear,4,16,gat_sym,max,tanh,2;42.0;0.772;0.742
const,max,linear,4,16,gat_sym,mlp,tanh,6;19.0;0.888;0.87
const,max,linear,4,16,gcn,sum,relu,8;42.0;0.784;0.76
const,max,linear,4,16,generalized_linear,sum,linear,1;19.0;0.762;0.747
const,max,linear,4,256,generalized_linear,max,relu6,4;42.0;0.6459999999999999;0.66
const,max,linear,4,32,gat,sum,linear,8;123.0;0.768;0.755
const,max,linear,4,4,generalized_linear,sum,linear,4;19.0;0.73;0.7090000000000001
const,max,linear,4,64,const,sum,linear,2;42.0;0.7659999999999999;0.74
const,max,linear,4,64,gat_sym,max,softplus,4;79.0;0.862;0.872
const,max,linear,4,8,const,mlp,elu,4;19.0;0.7979999999999999;0.7879999999999999
const,max,linear,4,8,cos,max,leaky_relu,4;19.0;0.856;0.862
const,max,linear,4,8,gat_sym,max,elu,16;123.0;0.5479999999999999;0.5814999999999999
const,max,linear,6,128,cos,sum,linear,16;123.0;0.754;0.745
const,max,linear,6,16,gcn,mlp,leaky_relu,16;42.0;0.7040000000000001;0.695
const,max,linear,6,16,gcn,sum,leaky_relu,2;79.0;0.8;0.769
const,max,linear,6,32,gat_sym,sum,elu,8;123.0;0.762;0.73
const,max,linear,6,32,generalized_linear,mean,elu,4;42.0;0.594;0.575
const,max,linear,6,4,const,sum,linear,16;123.0;0.732;0.721
const,max,linear,6,4,cos,max,tanh,1;123.0;0.764;0.757
const,max,linear,6,4,gat_sym,mlp,sigmoid,4;19.0;0.4320000000000001;0.454
const,max,linear,6,4,linear,sum,tanh,1;10.0;0.7879999999999999;0.7759999999999999
const,max,linear,6,64,gat_sym,mean,softplus,1;10.0;0.74;0.696
const,max,linear,6,8,linear,max,linear,1;10.0;0.76;0.736
const,max,linear,6,8,linear,sum,linear,2;79.0;0.79;0.758
const,max,linear,8,128,cos,mean,leaky_relu,4;123.0;0.416;0.407
